(0.9641446545117434, '55176')
(0.9673693950110145, '54805')
(1.00090800850306, '270')
(1.0281768417563926, '23392')
(1.0325798758037952, '25666')
(1.0327066979110795, '67')
(1.0473267305786138, '22131')
(1.058914972469402, '32138')
(1.0666218209624434, '35766')
(1.0669417964751284, '70888')
(1.0741536478416978, '69201')
(1.0758730177976574, '26090')
(1.0769052029538035, '24542')
(1.079311299790063, '22339')
(1.0804239880769724, '377')
(1.0841517982395001, '116791')
(1.084563532702174, '29168')
(1.0880454100012098, '36592')
(1.0890237718397646, '2819')
(1.0893704719771646, '22079')
(1.091620349926042, '12805')
(1.0929153147059667, '41783')
(1.0947657754629403, '73843')
(1.0990225267817242, '610')
(1.1007403169141956, '22277')
(1.1047914030302224, '64048')
(1.1085321821356542, '24589')
(1.112379455436028, '57532')
(1.1128210325675967, '63251')
(1.1132101041828695, '871')
(1.1155299545645208, '87741')
(1.1179824963487162, '163362')
(1.1193540977171978, '498')
(1.1203954422836597, '70523')
(1.1214477744776394, '2747')
(1.122139374478634, '358')
(1.1223754794592269, '38475')
(1.126015339611772, '55821')
(1.1293065156979196, '32639')
(1.1304416502585577, '37180')
(1.132116936163389, '42323')
(1.1346405345930197, '37334')
(1.1349574978215204, '31204')
(1.1362149761911124, '43916')
(1.1368643474798756, '22284')
(1.1400195552484125, '31264')
(1.1404887155030874, '27443')
(1.1408573640443955, '177748')
(1.1437533091110488, '55029')
(1.1441736524948427, '70463')
(1.1461464074295953, '136674')
(1.1468203518117353, '26712')
(1.1493381973095298, '49828')
(1.1520441522271314, '52375')
(1.1536901353547369, '42778')
(1.1549125127406161, '30356')
(1.1571528915725147, '6848')
(1.1577891395237079, '25669')
(1.1594844676867924, '22243')
(1.1601047653226781, '213346')
(1.162703501406044, '174894')
(1.1636113979919311, '38280')
(1.1721860277169058, '41456')
(1.1738827921931163, '366')
(1.1740714042799347, '413')
(1.1777013464219002, '30525')
(1.1785198786956874, '419')
(1.1788693942978716, '48159')
(1.1791638325120877, '177671')
(1.1815642367869132, '13664')
(1.1847767920623893, '26346')
(1.1851243045355682, '49814')
(1.1853039032344956, '798')
(1.1859758892389058, '37896')
(1.1889829154023581, '396')
(1.1901835510075034, '30686')
(1.1936800737976723, '112139')
(1.193737805129771, '89')
(1.196424094675077, '31556')
(1.1969726089652133, '71903')
(1.1981056269630843, '36497')
(1.2001998135368552, '33360')
(1.2003791874239556, '24567')
(1.200751304799967, '35106')
(1.2012394437238143, '29331')
(1.2023439532668776, '21970')
(1.206667257088274, '22693')
(1.2073580845562277, '27271')
(1.2113253558503276, '53536')
(1.2114630382457223, '30115')
(1.2121950547343296, '624')
(1.213137913674166, '179675')
(1.214878914248874, '619')
(1.2153572179530163, '45082')
(1.215660640616779, '6845')
(1.2177216283128636, '661')
(1.2179956970252168, '26209')
(1.219290883294141, '59837')
(1.2235077397485195, '22999')
(1.224592888616535, '24568')
(1.226968870897771, '34')
(1.2281836742441565, '24953')
(1.2322111895012995, '22042')
(1.2342236184972009, '30474')
(1.2342422477539068, '25657')
(1.2342867330620653, '138097')
(1.2361775659215766, '22027')
(1.2377248586417773, '300')
(1.2397143575262037, '33774')
(1.2397587633677767, '26177')
(1.2400496197807687, '22032')
(1.2416333876308943, '320')
(1.24451407760404, '23480')
(1.2446068522594218, '29091')
(1.2459303975367328, '40814')
(1.2462183478903626, '22363')
(1.2487438239928719, '27494')
(1.2493157606325123, '59134')
(1.2545424966671979, '46281')
(1.2597258168816008, '68918')
(1.2627778935594656, '90210')
(1.2634550273975205, '62148')
(1.2643535835783075, '1096')
(1.2654471001564975, '68682')
(1.266507145633569, '34503')
(1.2700032838779713, '22897')
(1.2702010269022512, '24513')
(1.272145706318433, '71126')
(1.272274004432958, '35695')
(1.2736191407448905, '34360')
(1.2741057165807275, '137')
(1.2742896816228009, '53316')
